title_id,title_name,title_code,title_icon
00050010-10040000,Wii U Menu,,wiiu
00050010-10040100,Wii U Menu,,wiiu
00050010-10040200,Wii U Menu,,wiiu
00050010-10047000,System Settings,,settings
00050010-10047100,System Settings,,settings
00050010-10047200,System Settings,,settings
00050010-1004C000,Daily Log,,daily_log
00050010-1004C100,Daily Log,,daily_log
00050010-1004C200,Daily Log,,daily_log
00050000-10013000,Nintendo TVii,WUP-X-HBCJ,
00050000-10100600,鉄拳タッグトーナメント2 Wii U EDITION,WUP-N-AKNJ,
00050000-10100D00,Nintendo×JOYSOUND Wii カラオケ U,WUP-N-WAHJ,
00050000-10101800,SiNG PARTY,WUP-N-ASWE,
00050000-10101900,SiNG PARTY,WUP-P-ASWP,
00050000-10101A00,LEGO City: Undercover,WUP-N-APLE,
00050000-10101B00,LEGO City Undercover,WUP-P-APLP,
00050000-10101C00,New スーパーマリオブラザーズ U,WUP-N-ARPJ,
00050000-10101D00,New Super Mario Bros. U,WUP-N-ARPE,
00050000-10101E00,New Super Mario Bros. U,WUP-P-ARPP,
00050000-10101F00,Nintendo Land,WUP-N-ALCJ,
00050000-10102000,Nintendo Land,WUP-N-ALCE,
00050000-10102100,Nintendo Land,WUP-P-ALCP,
00050000-10102200,Wii Fit U,WUP-N-ASTJ,
00050000-10102300,Wii Fit U,WUP-N-ASTE,
00050000-10213B00,Cubeshift,WUP-P-WSHE,
00050000-10102400,Wii Fit U,WUP-P-ASTP,
00050000-10102500,Nintendo×JOYSOUND Wii カラオケ U,,
00050000-10102900,出前館,WUP-N-WALJ,
00050000-10102A00,YNN,WUP-N-HNMJ,
00050000-10102D00,Hulu Plus,WUP-N-HNPE,
00050000-10102E00,Amazon Instant Video,WUP-N-HNQE,
00050000-10102F00,Amazon Instant Video,WUP-N-HNRP,
00050000-10104C00,Hulu,WUP-N-HNPJ,
00050000-10104D00,モンスターハンター3(トライ)G HD Ver.,WUP-N-AHDJ,
00050000-10105700,YouTube,WUP-N-HNKA,
00050000-10105A00,Netflix,WUP-N-HNNA,
00050000-10106100,スーパーマリオ 3Dワールド,WUP-N-ARDJ,super_mario_3d_world
00050000-10106900,マリオ&ソニック AT ソチオリンピック,WUP-N-AURJ,
00050000-10106B00,Assassin's Creed III,WUP-N-ASSE,
00050000-10106C00,スーパーマリオブラザーズ,WUP-N-FAAJ,
00050000-10106D00,Super Mario Bros.,WUP-N-FAAE,
00050000-10106E00,Super Mario Bros.,WUP-N-FAAP,
00050000-10106F00,スーパーマリオブラザーズ3,WUP-N-FABJ,
00050000-10107000,Super Mario Bros. 3,WUP-N-FABE,
00050000-10107100,Super Mario Bros. 3,WUP-N-FABP,
00050000-10107200,アイスクライマー,WUP-N-FACJ,
00050000-10107500,Ice Climber,WUP-N-FACE,
00050000-10107600,Ice Climber,WUP-N-FACP,
00050000-10107700,星のカービィ 夢の泉の物語,WUP-N-FADJ,
00050000-10107800,Kirby's Adventure,WUP-N-FADE,
00050000-10107900,Kirby's Adventure,WUP-N-FADP,
00050000-10107A00,Kirby's Adventure,,
00050000-10107B00,マリオブラザーズ,WUP-N-FAEJ,
00050000-10107C00,Mario Bros,WUP-N-FAEE,
00050000-10107D00,Mario Bros.,WUP-N-FAEP,
00050000-10107E00,ドンキーコング,WUP-N-FAFJ,
00050000-10107F00,Donkey Kong,WUP-N-FAFE,
00050000-10108000,Donkey Kong,WUP-N-FAFP,
00050000-10108100,エキサイトバイク,WUP-N-FAGJ,
00050000-10108200,Excitebike,WUP-N-FAGE,
00050000-10108300,Excitebike,WUP-N-FAGP,
00050000-10108400,スーパーマリオUSA,WUP-N-FAHJ,
00050000-10108500,Super Mario Bros. 2,WUP-N-FAHE,
00050000-10108600,Super Mario Bros. 2,WUP-N-FAHP,
00050000-10108700,バルーンファイト,WUP-N-FAJJ,
00050000-10108800,Balloon Fight,WUP-N-FAJE,
00050000-10108900,Balloon Fight,WUP-N-FAJP,
00050000-10108A00,パンチアウト,WUP-N-FAKJ,
00050000-10108B00,Punch-Out!! Featuring Mr. Dream,WUP-N-FAKE,
00050000-10108C00,Punch-Out!!,WUP-N-FAKP,
00050000-10108E00,スーパーマリオワールド,WUP-N-JAAJ,
00050000-10108F00,Super Mario World,WUP-N-JAAE,
00050000-10109000,Super Mario World,WUP-N-JAAP,
00050000-10109100,スーパーマリオRPG,WUP-N-JABJ,
00050000-10109200,Super Mario RPG: Legend of the Seven Stars,WUP-N-JABE,
00050000-10109300,Super Mario RPG: Legend of the Seven Stars,WUP-N-JABP,
00050000-10109400,スーパードンキーコング,WUP-N-JACJ,
00050000-10109500,Donkey Kong Country,WUP-N-JACE,
00050000-10109600,Donkey Kong Country,WUP-N-JACP,
00050000-10109700,ゼルダの伝説 神々のトライフォース,WUP-N-JADJ,
